City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
138,Vila,IT,2019-11-12 03:28:57,45.18,8.4,45.0,100,75,1.12,light rain,0.0,0.0
139,Butaritari,KI,2019-11-12 03:28:57,3.07,172.79,80.08,79,100,9.06,overcast clouds,0.0,0.0
140,Half Moon Bay,US,2019-11-12 03:28:57,37.46,-122.43,66.99,45,40,10.29,scattered clouds,0.0,0.0
141,Mungaoli,IN,2019-11-12 03:28:58,24.41,78.09,73.63,49,0,5.44,clear sky,0.0,0.0
142,Samarkand,UZ,2019-11-12 03:28:58,39.65,66.98,35.6,59,0,9.17,mist,0.0,0.0
143,Atagay,RU,2019-11-12 03:28:58,55.1,99.39,4.93,77,100,13.51,light snow,0.0,0.19
144,Ventspils,LV,2019-11-12 03:28:58,57.39,21.56,35.6,100,75,6.93,broken clouds,0.0,0.0
145,Camocim,BR,2019-11-12 03:28:59,-2.9,-40.84,74.71,81,24,6.44,few clouds,0.0,0.0
146,Bluff,AU,2019-11-12 03:28:59,-23.58,149.07,91.38,19,0,5.28,clear sky,0.0,0.0
147,Lyskovo,RU,2019-11-12 03:28:59,56.03,45.04,42.01,95,100,11.12,overcast clouds,0.0,0.0
148,Vanavara,RU,2019-11-12 03:28:59,60.35,102.28,-13.49,93,100,8.08,overcast clouds,0.0,0.0
149,Puerto Ayacucho,CO,2019-11-12 03:29:00,5.66,-67.63,73.96,95,86,2.08,overcast clouds,0.0,0.0
150,Severo-Kurilsk,RU,2019-11-12 03:29:00,50.68,156.12,34.77,77,32,4.68,scattered clouds,0.0,0.0
151,Comodoro Rivadavia,AR,2019-11-12 03:29:00,-45.87,-67.48,51.8,93,40,7.7,fog,0.0,0.0
152,Tuatapere,NZ,2019-11-12 03:29:00,-46.13,167.69,64.45,39,100,1.32,overcast clouds,0.0,0.0
153,Pangnirtung,CA,2019-11-12 03:29:00,66.15,-65.72,16.95,76,100,5.46,overcast clouds,0.0,0.0
154,Mansa,IN,2019-11-12 03:29:01,23.43,72.66,77.0,78,0,4.7,mist,0.0,0.0
155,Xinzhi,TW,2019-11-12 03:29:01,22.54,120.62,82.4,45,20,6.93,few clouds,0.0,0.0
156,Lumphat,KH,2019-11-12 03:29:01,13.5,106.97,70.12,96,100,3.27,overcast clouds,0.0,0.0
157,Narok,KE,2019-11-12 03:29:01,-1.09,35.87,54.41,90,94,4.68,overcast clouds,0.0,0.0
158,Luanda,AO,2019-11-12 03:29:02,-8.83,13.24,80.6,78,75,3.36,broken clouds,0.0,0.0
159,Hayden,US,2019-11-12 03:24:46,47.77,-116.79,39.99,59,40,6.93,scattered clouds,0.0,0.0
160,Provideniya,RU,2019-11-12 03:29:02,64.42,-173.23,37.4,98,75,17.9,light rain,0.0,0.0
